id,produto,marca,avaliacao,preco
706,Smartwatch,HP,3.1,103.93
707,Printer,Asus,4.7,1274.51
708,Smartwatch,Asus,3.3,1794.94
709,Printer,Samsung,2.8,1794.85
710,Monitor,Sony,2.7,1524.87
711,Smartphone,HP,1.4,1000.65
712,Camera,Dell,1.5,1939.67
713,Tablet,Samsung,1.7,1571.01
714,Smartwatch,Sony,1.5,761.25
715,Laptop,Asus,3.2,228.91
716,Monitor,Samsung,1.0,989.34
717,Camera,HP,2.8,318.07
718,Monitor,HP,5.0,491.21
719,Laptop,Lenovo,2.7,1788.0
720,Monitor,Dell,1.6,1862.49
721,Tablet,Samsung,1.2,957.62
722,Tablet,Apple,1.4,1141.91
723,Printer,Sony,3.1,793.52
724,Laptop,Dell,2.3,1887.31
725,Printer,HP,1.5,1264.82
726,Monitor,Lenovo,4.0,1417.53
727,Smartphone,Asus,3.2,129.11
728,Monitor,Sony,2.0,1066.68
729,Tablet,Lenovo,2.8,671.66
730,Laptop,Asus,2.4,1795.64
731,Headphone,Dell,2.1,162.43
732,Printer,Apple,3.4,871.09
733,Smartphone,LG,4.3,1865.02
734,Smartphone,Sony,2.6,239.7
735,Tablet,Samsung,3.7,623.3
736,Camera,Apple,3.2,337.92
737,Camera,Samsung,4.4,1101.65
738,Headphone,Asus,4.0,540.63
739,Laptop,Asus,1.6,548.98
740,Smartwatch,Sony,1.8,1353.55
741,Headphone,Dell,3.1,232.13
742,Laptop,Asus,4.7,1779.8
743,Headphone,HP,2.1,1256.74
744,Tablet,Lenovo,2.5,1034.19
745,Printer,Lenovo,2.1,417.72
746,Monitor,Dell,1.4,600.57
747,Headphone,Sony,3.7,637.43
748,Headphone,LG,4.0,457.9
749,Smartphone,Lenovo,3.7,1880.68
750,Printer,Dell,1.7,674.04
751,Smartphone,Dell,4.4,1494.06
752,Laptop,Asus,2.7,1526.77
753,Headphone,Sony,2.5,588.97
754,Headphone,Lenovo,1.5,381.8
755,Laptop,Samsung,4.2,478.94
756,Headphone,Apple,2.0,271.85
757,Smartwatch,Asus,1.3,413.2
758,Headphone,Sony,4.2,599.73
759,Smartphone,Sony,3.2,1946.09
760,Smartwatch,HP,4.6,1671.33
761,Printer,Asus,3.1,1506.43
762,Camera,Sony,5.0,608.15
763,Smartphone,Dell,1.1,1561.87
764,Smartphone,Apple,1.1,116.26
765,Headphone,LG,4.8,1252.19
766,Smartwatch,Lenovo,2.3,1459.81
767,Printer,Asus,3.7,733.96
768,Laptop,Lenovo,4.2,677.92
769,Monitor,LG,1.8,1774.7
770,Headphone,Sony,4.0,1497.5
771,Camera,Dell,1.1,557.88
772,Monitor,Sony,2.7,989.3
773,Smartphone,Samsung,3.6,1281.18
774,Camera,Asus,1.9,1644.46
775,Smartphone,Sony,4.2,1535.71
776,Headphone,LG,3.9,332.74
777,Laptop,HP,3.0,101.08
778,Smartphone,Apple,3.4,1491.07
779,Monitor,Lenovo,1.6,695.09
780,Smartwatch,Asus,2.0,719.38
781,Smartwatch,Apple,4.5,84.45
782,Camera,Dell,1.4,1249.07
783,Tablet,HP,3.4,1925.78
784,Smartwatch,LG,2.4,1655.07
785,Smartwatch,Dell,2.3,436.59
786,Monitor,Sony,3.6,1333.35
787,Camera,Lenovo,4.0,1354.0
788,Printer,Dell,3.2,331.17
789,Headphone,Dell,2.5,1436.92
790,Tablet,LG,3.0,110.36
791,Headphone,HP,2.8,1947.65
792,Laptop,Dell,4.1,130.29
793,Printer,Apple,3.5,1060.77
794,Laptop,HP,3.7,1969.9
795,Printer,Dell,2.0,758.88
796,Tablet,Asus,1.6,1717.2
797,Tablet,Lenovo,4.3,236.63
798,Monitor,Dell,2.7,774.35
799,Tablet,Sony,4.2,1192.88
800,Smartwatch,Dell,4.3,767.8
801,Monitor,Lenovo,1.8,459.94
802,Headphone,Samsung,3.2,546.12
803,Printer,Asus,4.3,773.58
804,Laptop,Lenovo,2.4,1659.75
805,Headphone,Samsung,4.6,888.52
806,Monitor,Sony,1.3,1823.89
807,Monitor,Lenovo,3.3,1003.49
808,Laptop,HP,2.3,1652.84
809,Laptop,Asus,2.8,124.25
810,Headphone,Sony,4.2,595.86
811,Smartwatch,Apple,1.6,365.63
812,Monitor,Dell,4.1,966.16
813,Headphone,Lenovo,2.5,1047.33
814,Tablet,Sony,4.4,701.34
815,Monitor,Dell,3.3,1801.91
816,Smartwatch,HP,1.6,918.54
817,Printer,Apple,1.3,1503.71
818,Printer,LG,3.3,966.64
819,Printer,Samsung,4.5,1912.67
820,Smartwatch,Lenovo,1.1,217.58
821,Smartwatch,Dell,3.9,227.28
822,Tablet,Samsung,3.0,1004.24
823,Laptop,Apple,4.0,1809.73
824,Camera,HP,2.6,596.88
825,Printer,Apple,2.1,1858.4
826,Tablet,Asus,4.0,1157.84
827,Headphone,Samsung,2.9,602.11
828,Headphone,Asus,3.5,1493.77
829,Smartphone,Samsung,3.1,669.96
830,Camera,Dell,4.0,1959.42
831,Smartphone,Apple,2.8,1880.45
832,Tablet,Samsung,2.7,1715.24
833,Headphone,LG,1.5,1860.77
834,Camera,LG,2.3,1071.78
835,Printer,LG,2.7,1947.87
836,Camera,Lenovo,3.8,135.53
837,Headphone,Lenovo,4.1,1753.22
838,Printer,Sony,1.0,1513.19
839,Printer,Apple,4.5,599.63
840,Printer,Samsung,1.9,1940.97
841,Printer,Asus,4.4,74.69
842,Monitor,Samsung,3.7,214.0
843,Laptop,Sony,1.8,1137.64
844,Smartphone,HP,2.9,938.67
845,Printer,Lenovo,4.4,1224.43
846,Camera,Asus,4.3,1824.88
847,Smartwatch,LG,4.1,1285.6
848,Laptop,Samsung,4.1,682.67
849,Laptop,Dell,3.4,1681.65
850,Camera,Samsung,4.8,1825.29
851,Headphone,Lenovo,1.3,1508.22
852,Smartphone,Sony,4.2,827.04
853,Camera,HP,2.6,1574.18
854,Smartphone,Dell,2.2,1093.4
855,Monitor,Apple,2.7,438.51
856,Tablet,HP,2.1,868.52
857,Smartphone,LG,3.6,1103.74
858,Smartwatch,Sony,3.6,1419.2
859,Smartwatch,Asus,1.6,1391.82
860,Smartphone,Sony,2.0,157.17
861,Headphone,Sony,1.5,361.84
862,Smartwatch,LG,3.7,1814.86
863,Camera,Apple,4.7,395.66
864,Smartphone,Dell,3.0,906.16
865,Smartphone,Lenovo,4.5,1909.36
866,Smartphone,Samsung,3.2,1675.96
867,Tablet,Samsung,4.3,1324.69
868,Laptop,LG,3.4,1186.54
869,Smartwatch,Asus,4.8,765.27
870,Monitor,Dell,4.3,311.86
871,Camera,Sony,4.9,1037.82
872,Tablet,Dell,2.4,433.82
873,Camera,Samsung,1.2,220.71
874,Monitor,Samsung,2.3,541.3
875,Camera,Samsung,4.0,1562.7
876,Smartphone,LG,3.4,1686.59
877,Tablet,Lenovo,3.3,286.21
878,Smartwatch,Dell,3.6,67.63
879,Camera,Dell,1.3,799.13
880,Laptop,Dell,4.1,135.63
881,Camera,Sony,3.0,1935.82
882,Smartphone,Asus,4.4,889.5
883,Camera,Dell,3.3,1510.59
884,Printer,Lenovo,2.6,276.31
885,Smartphone,Dell,1.8,403.4
886,Monitor,HP,2.3,135.96
887,Camera,Apple,1.5,1714.2
888,Tablet,Dell,2.4,897.2
889,Smartphone,Sony,2.1,1636.59
890,Printer,Samsung,4.4,1113.92
891,Camera,Lenovo,2.5,215.24
892,Headphone,LG,1.6,1858.67
893,Tablet,Asus,1.4,700.67
894,Laptop,Sony,1.4,298.69
895,Smartwatch,Sony,4.6,1099.91
896,Tablet,HP,5.0,322.45
897,Smartphone,Dell,1.4,466.1
898,Smartwatch,Samsung,2.4,484.61
899,Camera,LG,3.2,867.44
900,Tablet,Dell,2.0,646.38
901,Tablet,Lenovo,4.3,746.16
902,Printer,Apple,1.6,107.2
903,Monitor,LG,2.4,1924.65
904,Smartphone,HP,4.8,196.2
905,Printer,Apple,4.0,797.04
906,Tablet,Dell,3.7,846.6
907,Monitor,Asus,2.9,1878.05
908,Smartwatch,Dell,1.2,1119.62
909,Smartphone,Lenovo,1.5,1238.98
910,Smartwatch,Dell,1.4,1525.16
911,Tablet,Apple,1.5,846.42
912,Monitor,Sony,3.9,937.62
913,Printer,Sony,1.8,794.58
914,Laptop,HP,3.2,1588.15
915,Printer,Lenovo,2.9,1817.6
916,Laptop,Samsung,4.4,1108.84
917,Smartphone,Apple,1.9,1114.58
918,Smartphone,Sony,2.5,838.21
919,Smartphone,Sony,2.1,1546.77
920,Printer,LG,3.1,1720.05
921,Printer,Dell,1.8,768.84
922,Smartphone,Samsung,4.1,1798.95
923,Printer,Samsung,3.6,423.95
924,Monitor,Lenovo,1.5,1636.58
925,Smartwatch,Dell,2.7,101.78
926,Monitor,HP,1.6,272.98
927,Smartphone,LG,2.2,315.58
928,Monitor,HP,4.6,1683.81
929,Printer,Dell,3.9,72.09
930,Smartwatch,Apple,4.0,612.63
931,Tablet,Lenovo,2.3,1995.26
932,Monitor,Lenovo,1.2,1743.14
933,Printer,LG,3.3,70.64
934,Smartwatch,Samsung,3.0,986.43
935,Headphone,HP,4.3,653.5
936,Headphone,Dell,4.0,801.36
937,Laptop,Samsung,2.9,687.71
938,Printer,Apple,1.3,1160.75
939,Printer,LG,4.1,488.77
940,Monitor,Lenovo,3.7,745.02
941,Laptop,Samsung,5.0,863.82
942,Camera,LG,1.9,1936.46
943,Smartphone,HP,4.9,846.14
944,Camera,HP,2.6,1765.01
945,Headphone,Dell,3.1,911.9
946,Laptop,LG,1.5,386.02
947,Camera,HP,4.7,1283.42
948,Printer,Sony,2.5,1310.43
949,Smartwatch,HP,4.7,1066.33
950,Smartphone,Apple,3.5,211.47
951,Smartwatch,Samsung,4.2,810.31
952,Tablet,LG,4.1,757.48
953,Smartphone,Dell,1.1,1688.07
954,Camera,Sony,3.3,514.27
955,Headphone,Dell,3.3,742.71
956,Headphone,LG,1.9,1276.61
957,Monitor,LG,2.8,642.91
958,Smartwatch,LG,2.8,1813.0
959,Tablet,Apple,2.4,1360.61
960,Laptop,Samsung,2.9,1969.44
961,Tablet,Sony,2.0,504.15
962,Headphone,HP,1.9,827.2
963,Smartwatch,HP,3.1,1679.05
964,Laptop,Asus,4.4,1903.42
965,Smartphone,Apple,1.4,1524.64
966,Smartphone,Asus,1.4,1574.91
967,Smartphone,Lenovo,4.3,1478.06
968,Smartwatch,Lenovo,4.2,492.06
969,Printer,Sony,2.9,76.7
970,Headphone,Asus,2.1,1325.56
971,Smartwatch,HP,1.8,1124.44
972,Camera,Dell,1.9,1373.63
973,Monitor,Lenovo,3.3,1863.52
974,Headphone,Apple,2.9,1571.68
975,Smartphone,LG,1.9,1892.14
976,Smartphone,HP,3.8,421.18
977,Laptop,Sony,2.5,1639.5
978,Printer,Lenovo,3.8,376.55
979,Tablet,HP,1.8,931.28
980,Headphone,Apple,3.4,1331.84
981,Monitor,HP,2.9,129.44
982,Smartphone,Asus,4.2,729.06
983,Laptop,Sony,3.2,1323.14
984,Tablet,Sony,1.8,1263.5
985,Smartwatch,Dell,4.2,1244.15
986,Printer,HP,4.1,751.85
987,Headphone,HP,3.1,1027.4
988,Smartwatch,Dell,2.3,59.93
989,Headphone,HP,3.5,1093.3
990,Laptop,Apple,1.8,366.75
991,Laptop,Sony,3.7,228.75
992,Camera,LG,1.2,1892.56
993,Headphone,LG,1.8,1807.04
994,Monitor,HP,2.8,1394.16
995,Headphone,Apple,1.6,1811.16
996,Camera,HP,2.6,1152.03
997,Smartwatch,HP,3.0,116.14
998,Monitor,Asus,3.0,1702.74
999,Camera,HP,3.4,832.62
1000,Tablet,Sony,2.6,156.6
1001,Monitor,Asus,3.5,1379.76
1002,Tablet,Lenovo,2.3,1159.46
1003,Camera,LG,4.7,610.88
1004,Smartwatch,Dell,2.3,872.48
1005,Printer,Samsung,1.8,520.25
1006,Monitor,Sony,1.0,1901.25
1007,Smartwatch,Asus,1.8,1981.98
1008,Monitor,HP,1.6,180.02
1009,Laptop,Lenovo,2.7,1152.13
1010,Printer,Apple,1.2,354.95
1011,Tablet,Asus,2.8,527.27
1012,Printer,HP,4.6,419.34
1013,Tablet,HP,4.7,1779.26
1014,Tablet,LG,2.9,1479.03
1015,Printer,Dell,4.6,82.54
1016,Headphone,Dell,4.8,1623.92
1017,Tablet,Samsung,4.8,1432.79
1018,Monitor,Apple,1.8,584.15
1019,Tablet,Apple,1.2,1442.97
1020,Monitor,Lenovo,2.0,1130.57
1021,Printer,Dell,3.8,1446.13
1022,Camera,Dell,4.4,821.67
1023,Smartwatch,Sony,4.3,1595.19
1024,Smartphone,LG,1.2,1093.36
1025,Tablet,Lenovo,1.5,1020.29
1026,Camera,Lenovo,1.1,429.94
1027,Tablet,Asus,2.4,64.87
1028,Monitor,Samsung,4.0,1673.97
1029,Printer,Lenovo,2.5,114.94
1030,Printer,LG,2.5,508.47
1031,Headphone,Asus,1.2,507.28
1032,Smartphone,Samsung,1.6,1517.48
1033,Monitor,LG,4.0,1012.67
1034,Laptop,Samsung,1.3,1334.33
1035,Smartphone,Asus,2.6,1475.65
1036,Smartwatch,Lenovo,4.0,314.17
1037,Camera,Apple,4.4,1442.64
1038,Smartphone,Dell,3.2,1900.25
1039,Monitor,Dell,3.2,365.23
1040,Smartphone,Sony,2.4,862.18
1041,Smartphone,HP,2.1,297.21
1042,Laptop,Apple,3.1,1370.09
1043,Camera,Lenovo,2.8,1756.5
1044,Smartwatch,Asus,4.0,229.04
1045,Smartwatch,Samsung,4.8,379.29
1046,Monitor,Apple,3.6,192.1
1047,Monitor,Lenovo,1.1,1789.21
1048,Smartwatch,Asus,4.2,948.23
1049,Printer,Samsung,4.6,135.28
1050,Smartwatch,Asus,1.0,205.07
1051,Headphone,LG,2.2,299.71
1052,Smartwatch,Lenovo,3.0,1631.6
1053,Camera,Sony,3.8,411.03
1054,Smartwatch,Lenovo,3.6,1008.64
1055,Headphone,HP,1.5,702.12
1056,Tablet,Lenovo,2.6,1345.55
1057,Printer,Lenovo,3.7,602.83
1058,Smartphone,HP,2.2,1686.89
1059,Monitor,Sony,1.7,1380.18
1060,Smartphone,Lenovo,4.0,432.68
1061,Headphone,Samsung,3.1,323.43
1062,Laptop,Samsung,4.2,1195.25
1063,Camera,LG,4.2,100.9
1064,Printer,Asus,3.8,1347.73
1065,Laptop,Dell,3.5,1480.19
1066,Smartphone,Samsung,4.1,1063.58
1067,Camera,HP,3.5,138.87
1068,Tablet,LG,2.5,923.44
1069,Laptop,Asus,4.3,601.59
1070,Headphone,Lenovo,2.1,1232.39
1071,Camera,Sony,4.9,309.06
1072,Smartwatch,Lenovo,2.2,1696.34
1073,Laptop,Sony,3.5,726.39
1074,Monitor,Lenovo,2.1,223.82
1075,Printer,Asus,4.3,713.82
1076,Headphone,LG,1.4,1975.87
1077,Headphone,Samsung,1.1,787.94
1078,Printer,LG,3.7,421.82
1079,Camera,Sony,2.7,1618.6
1080,Smartwatch,Asus,2.1,813.83
1081,Printer,Samsung,1.7,468.78
1082,Smartwatch,Asus,2.7,339.93
1083,Headphone,Lenovo,3.9,1553.36
1084,Tablet,Apple,2.5,623.61
1085,Smartphone,HP,1.9,1686.58
1086,Printer,Samsung,2.9,362.38
1087,Smartwatch,Lenovo,1.2,570.61
1088,Headphone,Samsung,1.5,1589.87
1089,Tablet,HP,1.2,1563.11
1090,Monitor,Samsung,3.9,64.36
1091,Tablet,Lenovo,1.0,1704.24
1092,Printer,Samsung,3.0,1409.87
1093,Headphone,Dell,2.3,1143.2
1094,Tablet,Apple,2.8,287.83
1095,Laptop,HP,3.8,1642.5
1096,Tablet,Dell,2.4,1051.06
1097,Headphone,Sony,3.9,1968.96
1098,Tablet,Dell,3.2,1367.46
1099,Camera,Apple,3.6,818.4
1100,Monitor,Asus,1.5,1573.71
1101,Tablet,Lenovo,1.6,1652.15
1102,Headphone,Dell,2.7,1479.54
1103,Smartphone,Lenovo,3.5,1333.69
1104,Camera,HP,4.4,1144.86
1105,Smartphone,Asus,3.8,1790.69
1106,Smartphone,Apple,1.6,1316.93
1107,Printer,Apple,4.0,1129.86
1108,Laptop,Samsung,4.5,1591.33
1109,Camera,Apple,1.1,1974.97
1110,Laptop,Dell,4.4,1663.53
1111,Camera,Asus,3.8,555.3
1112,Headphone,Apple,4.8,281.86
1113,Smartphone,Lenovo,1.6,127.19
1114,Printer,HP,1.2,1404.81
1115,Monitor,Apple,2.9,184.47
1116,Smartphone,Asus,4.5,1128.18
1117,Camera,Asus,4.9,672.23
1118,Smartphone,Sony,3.4,1649.16
1119,Laptop,Sony,4.6,128.85
1120,Smartphone,Asus,3.8,577.91
1121,Monitor,Lenovo,3.5,1163.55
1122,Printer,Dell,1.7,217.28
1123,Tablet,Apple,2.0,372.43
1124,Camera,Apple,2.0,1788.37
1125,Printer,HP,3.1,1599.74
1126,Monitor,Lenovo,3.5,1588.98
1127,Headphone,Sony,4.7,1109.03
1128,Smartphone,LG,2.6,1728.33
1129,Monitor,LG,1.1,1801.71
1130,Monitor,Samsung,2.2,505.44
1131,Tablet,Samsung,2.4,1169.8
1132,Headphone,Sony,1.9,342.68
1133,Tablet,Apple,3.3,1533.53
1134,Headphone,Sony,3.6,880.14
1135,Camera,HP,5.0,133.09
1136,Monitor,LG,2.5,829.11
1137,Camera,HP,4.4,781.73
1138,Headphone,Samsung,4.8,701.29
1139,Headphone,Sony,4.0,1285.9
1140,Headphone,Lenovo,4.7,1355.77
1141,Monitor,Samsung,3.4,1338.93
1142,Printer,Asus,3.6,1691.41
1143,Smartphone,Lenovo,4.4,385.35
1144,Laptop,Dell,2.6,372.81
1145,Smartwatch,Asus,4.8,1833.29
1146,Camera,Sony,3.5,1364.88
1147,Camera,Sony,2.8,148.05
1148,Printer,Asus,3.8,1406.63
1149,Headphone,Asus,4.8,314.28
1150,Headphone,Samsung,1.3,456.18
1151,Laptop,LG,4.6,319.17
1152,Camera,LG,3.5,1587.79
1153,Smartphone,Sony,1.1,1057.25
1154,Camera,HP,3.5,889.17
1155,Smartphone,Apple,1.2,973.71
1156,Printer,Asus,2.8,993.68
1157,Printer,Apple,3.8,777.76
1158,Smartphone,Samsung,4.3,1349.23
1159,Smartwatch,Dell,3.0,1031.84
1160,Smartphone,Dell,1.2,470.24
1161,Smartphone,Sony,1.4,1069.12
1162,Laptop,LG,4.3,1786.38
1163,Headphone,Sony,3.3,1666.71
1164,Tablet,Apple,3.7,1940.41
1165,Smartphone,Lenovo,2.7,1223.69
1166,Smartwatch,Dell,1.6,674.07
1167,Smartphone,HP,2.1,1413.31
1168,Monitor,Samsung,1.6,739.32
1169,Smartphone,Lenovo,3.3,1519.54
1170,Camera,HP,3.7,731.69
1171,Monitor,Apple,1.1,1047.62
1172,Tablet,Apple,3.5,644.08
1173,Smartphone,Samsung,2.3,323.73
1174,Headphone,HP,4.5,498.73
1175,Smartwatch,Dell,4.7,1683.57
1176,Monitor,Dell,3.7,598.38
1177,Monitor,Dell,5.0,1289.29
1178,Smartwatch,Apple,4.7,1397.76
1179,Printer,Sony,4.4,630.58
1180,Monitor,Sony,1.8,395.21
1181,Smartphone,HP,4.3,1556.06
1182,Smartphone,HP,3.7,394.95
1183,Tablet,Samsung,1.1,1335.17
1184,Smartwatch,Sony,2.4,1613.93
1185,Camera,Lenovo,2.1,1091.28
1186,Printer,HP,2.3,778.04
1187,Laptop,Samsung,1.1,1511.01
1188,Monitor,HP,4.3,1516.47
1189,Laptop,Asus,1.9,993.49
1190,Tablet,Asus,4.6,713.17
1191,Camera,Samsung,1.4,1620.6
1192,Camera,LG,1.4,1732.94
1193,Smartwatch,Asus,3.9,413.99
1194,Camera,HP,3.8,751.21
1195,Smartphone,LG,2.2,320.05
1196,Printer,Sony,5.0,1603.98
1197,Tablet,Asus,2.8,1536.19
1198,Laptop,Samsung,3.9,472.44
1199,Monitor,LG,3.6,1875.67
1200,Camera,LG,1.2,198.59
1201,Headphone,LG,1.7,83.97
1202,Smartphone,Sony,2.0,1745.55
1203,Printer,Apple,3.7,96.65
1204,Laptop,Samsung,2.8,465.6
1205,Smartwatch,Lenovo,3.0,519.97
1206,Tablet,Samsung,4.1,1914.18
1207,Tablet,LG,2.4,1922.06
1208,Tablet,Dell,4.9,1602.46
1209,Monitor,Samsung,4.8,1125.03
1210,Headphone,Dell,1.2,51.32
1211,Camera,HP,3.0,241.8
1212,Camera,Samsung,4.2,1207.71
1213,Tablet,Sony,2.2,1364.51
1214,Printer,Sony,3.1,1414.1
1215,Smartwatch,HP,2.7,1577.84
1216,Smartphone,Apple,1.4,1465.9
1217,Smartwatch,HP,1.5,614.93
1218,Smartphone,LG,3.6,1759.64
1219,Camera,Apple,1.0,469.37
1220,Monitor,Sony,3.8,1936.36
1221,Tablet,Lenovo,1.2,1847.17
1222,Printer,LG,1.9,277.3
1223,Printer,HP,4.3,1301.25
1224,Tablet,Lenovo,2.2,647.44
1225,Monitor,LG,4.4,235.57
1226,Smartphone,LG,1.2,647.77
1227,Laptop,LG,4.2,1430.0
1228,Camera,Apple,2.5,858.98
1229,Smartwatch,Apple,2.0,663.22
1230,Monitor,Lenovo,3.6,1487.05
1231,Monitor,Lenovo,2.4,1124.6
1232,Camera,LG,1.2,879.65
1233,Printer,HP,3.2,1045.25
1234,Printer,Samsung,2.2,1018.45
1235,Tablet,Sony,3.1,1529.65
1236,Headphone,LG,4.6,1629.34
1237,Monitor,HP,1.6,878.52
1238,Headphone,Sony,4.6,257.15
1239,Printer,Samsung,3.6,252.64
1240,Camera,Dell,2.0,701.32
1241,Printer,HP,4.2,1089.76
1242,Monitor,Samsung,2.6,517.26
1243,Camera,Lenovo,3.7,1893.24
1244,Tablet,Samsung,2.2,1286.96
1245,Printer,Lenovo,3.3,1014.65
1246,Smartwatch,LG,3.9,246.33
1247,Tablet,Sony,2.2,122.44
1248,Camera,Samsung,3.6,1024.9
1249,Smartwatch,HP,3.4,786.93
1250,Smartphone,Apple,1.8,447.37
1251,Camera,Samsung,1.3,224.05
1252,Tablet,HP,3.1,1081.26
1253,Tablet,Sony,1.1,1837.38
1254,Monitor,LG,2.3,1376.1
1255,Tablet,Asus,2.0,1729.69
1256,Printer,LG,2.9,1574.32
1257,Headphone,HP,2.9,913.86
1258,Monitor,LG,3.1,263.86
1259,Laptop,Samsung,3.0,603.83
1260,Tablet,HP,4.3,1796.87
1261,Smartphone,Apple,5.0,1956.38
1262,Headphone,Lenovo,3.5,444.6
1263,Printer,Asus,2.0,300.13
1264,Headphone,Asus,4.1,164.45
1265,Smartphone,Asus,3.6,1745.05
1266,Tablet,Dell,2.7,294.38
1267,Headphone,Apple,4.7,1291.71
1268,Laptop,Lenovo,4.5,1342.73
1269,Camera,Sony,3.4,496.89
1270,Smartphone,Samsung,3.3,904.6
1271,Headphone,HP,1.7,1730.25
1272,Monitor,LG,4.5,191.75
1273,Camera,Sony,2.2,1256.34
1274,Printer,Asus,2.7,776.49
1275,Laptop,HP,4.1,698.76
1276,Laptop,HP,2.2,1626.59
1277,Smartphone,Dell,2.8,722.02
1278,Smartphone,Sony,4.0,1261.92
1279,Smartphone,Lenovo,1.0,475.85
1280,Smartphone,Asus,2.8,1035.38
1281,Printer,HP,2.3,1562.44
1282,Smartphone,Dell,5.0,965.52
1283,Camera,Lenovo,2.9,725.64
1284,Smartphone,Sony,1.5,318.43
1285,Smartphone,Dell,4.2,682.3
1286,Monitor,LG,3.5,857.96
1287,Camera,Lenovo,3.2,1224.73
1288,Laptop,HP,4.9,1063.41
1289,Headphone,LG,3.4,335.17
1290,Tablet,Lenovo,3.6,663.93
1291,Camera,HP,2.1,766.08
1292,Smartwatch,Dell,2.7,1198.99
1293,Smartwatch,Asus,1.3,229.12
1294,Smartphone,Dell,4.3,1005.87
1295,Camera,Samsung,4.0,1532.62
1296,Smartwatch,Samsung,4.6,874.95
1297,Monitor,Dell,2.0,723.78
1298,Monitor,Sony,2.6,1574.75
1299,Headphone,Sony,3.4,1664.24
1300,Printer,Sony,2.1,1593.4
1301,Smartwatch,Lenovo,2.6,1987.98
1302,Smartwatch,Sony,1.2,441.99
1303,Headphone,Dell,1.5,1050.93
1304,Monitor,Apple,2.4,1691.54
1305,Tablet,Apple,2.3,408.52
1306,Printer,Samsung,4.3,1015.64
1307,Camera,HP,2.8,421.66
1308,Laptop,Lenovo,4.1,1752.89
1309,Smartwatch,Asus,2.2,1492.35
1310,Tablet,Samsung,3.4,1575.69
1311,Smartphone,Samsung,3.0,1676.36
1312,Smartwatch,Sony,1.8,323.22
1313,Monitor,LG,3.9,781.58
1314,Smartphone,Dell,2.6,1569.06
1315,Laptop,Apple,2.9,1731.38
1316,Camera,Apple,1.5,1779.64
1317,Headphone,Dell,3.7,248.68
1318,Monitor,Lenovo,4.6,787.83
1319,Camera,Apple,4.1,258.69
1320,Camera,Asus,1.0,113.64
1321,Headphone,Sony,1.3,1060.39
1322,Printer,Sony,1.9,84.57
1323,Headphone,HP,1.1,57.11
1324,Monitor,Sony,2.2,929.66
1325,Printer,HP,3.1,1416.77
1326,Printer,HP,2.7,332.9
1327,Camera,Apple,4.0,1041.65
1328,Laptop,Apple,4.0,1516.5
1329,Laptop,Sony,3.7,144.69
1330,Smartphone,Sony,1.3,781.17
1331,Smartphone,Asus,4.1,1763.4
1332,Camera,Apple,2.3,1675.2
1333,Smartphone,Asus,3.0,1650.2
1334,Smartwatch,HP,3.8,975.19
1335,Monitor,Asus,2.8,1712.79
1336,Monitor,Lenovo,4.7,826.43
1337,Printer,Asus,3.4,1802.6
1338,Camera,Asus,3.7,652.8
1339,Smartphone,Dell,1.3,877.65
1340,Headphone,Apple,3.6,1450.79
1341,Camera,Asus,2.3,54.2
1342,Laptop,Sony,3.8,280.78
1343,Monitor,Sony,4.5,1241.72
1344,Camera,Lenovo,4.4,542.06
1345,Headphone,Lenovo,3.8,598.46
1346,Smartphone,Dell,2.7,1951.51
1347,Camera,Asus,1.6,547.63
1348,Smartwatch,Apple,4.0,1295.95
1349,Smartwatch,LG,2.0,922.22
1350,Laptop,Apple,2.9,864.88
1351,Tablet,Asus,4.2,389.94
1352,Tablet,Sony,3.1,1731.17
1353,Headphone,Asus,4.9,187.25
1354,Laptop,Asus,2.1,1243.47
1355,Headphone,HP,3.6,407.24
1356,Headphone,Samsung,1.6,210.34
1357,Tablet,Sony,2.8,156.71
1358,Tablet,Asus,4.6,1675.7
1359,Headphone,HP,3.9,1481.09
1360,Smartphone,Dell,3.9,1802.99
1361,Monitor,LG,2.5,790.13
1362,Smartphone,Sony,4.6,1789.18
1363,Smartwatch,Asus,2.1,496.62
1364,Monitor,LG,1.2,1773.75
1365,Laptop,Sony,2.1,1648.45
1366,Smartwatch,LG,1.9,1677.49
1367,Monitor,Asus,2.0,1294.99
1368,Laptop,Apple,1.3,1182.75
1369,Tablet,Samsung,2.6,786.54
1370,Printer,Asus,1.2,988.14
1371,Headphone,Sony,4.6,863.06
1372,Printer,Dell,2.2,351.71
1373,Camera,Asus,1.8,381.24
1374,Monitor,Lenovo,2.6,663.02
1375,Printer,LG,1.1,298.1
1376,Monitor,Asus,1.3,1854.69
1377,Headphone,Samsung,4.6,319.8
1378,Headphone,Dell,2.9,1789.82
1379,Camera,HP,3.3,597.05
1380,Smartphone,HP,2.1,849.34
1381,Smartwatch,Sony,2.8,465.07
1382,Smartphone,Lenovo,3.5,1295.85
1383,Monitor,Sony,2.3,285.26
1384,Headphone,Dell,2.4,862.14
1385,Smartphone,Sony,4.4,1725.49
1386,Smartphone,HP,4.2,414.66
1387,Monitor,Samsung,2.0,165.77
1388,Camera,HP,4.4,1166.11
1389,Laptop,Apple,3.1,126.03
1390,Tablet,Lenovo,4.0,1653.38
1391,Smartphone,Lenovo,3.7,1893.14
1392,Camera,LG,2.5,869.92
